project_description,main_service,sub_service,material
정밀 가공 황동 너트,절삭(CNC),선반,금속
사출 성형 플라스틱 하우징,금형/사출성형,일반사출,플라스틱
강화 유리 디스플레이 패널,커팅,워터젯 커팅,유리/세라믹
고효율 DC 모터,조립,해당 없음,해당 없음
산업용 솔레노이드 밸브,조립,해당 없음,해당 없음
소음 감소형 고무 댐퍼,특수성형,고무 성형,고무
비상 정지 푸시 버튼 스위치,조립,해당 없음,해당 없음
고속 회전용 볼 베어링,절삭(CNC),선반,금속
절삭 공구용 초경 인서트,열처리,기타 열처리,해당 없음
주조 알루미늄 브래킷,주조,금형주조(다이캐스팅),금속
전기차용 리튬 이온 배터리 모듈,조립,해당 없음,해당 없음
고해상도 CCD 이미지 센서,전자회로(pcb),제작,해당 없음
의료용 실리콘 튜빙,압출,기타 압출 성형,실리콘
방폭형 LED 조명기구,조립,해당 없음,해당 없음
압력 센서 내장형 유압 실린더,조립,해당 없음,해당 없음
냉간 압연 강판 프레임,판금,용접,금속
반도체 장비용 진공 챔버,제관,용접,금속
산업용 케이블 그랜드,금형/사출성형,일반사출,플라스틱
복합 재료 성형 블레이드,플라스틱 성형,기타 플라스틱 성형,해당 없음
유연성 강화 케이블 트레이,판금,벤딩/절곡,금속
건축용 구조용 강철 빔,압연(rolling),열간 압연,금속
식품 등급 스테인리스 파이프,인발(drawing),관재,금속
광섬유 통신 케이블,조립,해당 없음,해당 없음
고정밀 볼 스크류,연마/폴리싱,해당 없음,금속
열 성형 PET 트레이,플라스틱 성형,진공 성형,플라스틱
방수 방진 IP67 전원 공급 장치,조립,해당 없음,해당 없음
항공기용 티타늄 합금 랜딩 기어 부품,단조(forging),형 단조,금속
인쇄 회로용 구리 호일,압연(rolling),냉간 압연,금속
산업용 고무 벨트,압출,기타 압출 성형,고무
내열성 절연 세라믹 부싱,열처리,기타 열처리,유리/세라믹
광학용 비구면 렌즈,절삭(CNC),밀링,해당 없음
고압 유압 호스,압출,기타 압출 성형,고무
맞춤형 금속 스탬핑 부품,프레스,성형,금속
스마트 팩토리용 IoT 센서 모듈,SW 개발 / IT 서비스,임베디드 SW개발,해당 없음
냉각 시스템용 알루미늄 라디에이터,용접,브레이징,금속
자동차 내장재용 PP 컴파운드,해당 없음,해당 없음,플라스틱
비상용 비상 발전기 컨트롤러,SW 개발 / IT 서비스,임베디드 SW개발,해당 없음
정밀 제어용 스테퍼 모터,조립,해당 없음,해당 없음
로봇 팔 그리퍼용 특수 합금 부품,절삭(CNC),5축가공,금속
정밀 가공 스테인리스 스틸 샤프트,절삭(CNC),선반,스테인리스 스틸
고강도 알루미늄 다이캐스팅 하우징,주조,금형주조(다이캐스팅),알루미늄
열처리 합금강 기어,열처리,전경화 열처리,합금강
CNC 밀링 가공 티타늄 브라켓,절삭(CNC),밀링,티타늄
레이저 절단 탄소강 플레이트,커팅,레이저 커팅,탄소강
분말 야금법 제조 베어링 부시,금형/사출성형,MIM(금속사출),금속
자동차 엔진용 단조 커넥팅 로드,단조(forging),형 단조,금속
항공우주용 고정밀 티타늄 볼트,전조(form rolling),나사 전조,티타늄
전기 아연 도금 강판,표면처리,도금 (plating),강판
진공 주조 알루미늄 밸브 바디,주조,기타주조,알루미늄
충격 흡수용 우레탄 댐퍼,플라스틱 성형,기타 플라스틱 성형,우레탄
사출 성형 ABS 플라스틱 커버,금형/사출성형,일반사출,ABS 플라스틱
투명 폴리카보네이트 보호창,플라스틱 성형,진공 성형,폴리카보네이트
내화학성 PTFE 씰,플라스틱 성형,기타 플라스틱 성형,PTFE
정전기 방지 PE 필름,압출,기타 압출 성형,PE
고탄성 EPDM 고무 호스,압출,기타 압출 성형,EPDM 고무
초정밀 아크릴 렌즈,연마/폴리싱,해당 없음,아크릴
나일론 66 강화 플라스틱 기어,금형/사출성형,일반사출,나일론 66
연질 PVC 압출 프로파일,압출,기타 압출 성형,PVC
다층 인쇄회로기판,전자회로(pcb),제작,해당 없음
방수형 전선 커넥터,조립,해당 없음,복합 소재
SMD 타입 세라믹 캐패시터,전자회로(pcb),제작,세라믹
고효율 스위칭 전원 공급 장치,전자회로(pcb),설계,해당 없음
광학 센서 모듈,조립,해당 없음,해당 없음
산업용 터치스크린 디스플레이 패널,전자회로(pcb),제작,해당 없음
고주파 페라이트 코어 인덕터,전자회로(pcb),제작,페라이트
표면 실장형 LED 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
절연 코팅 구리 코일,표면처리,코팅,구리
전력용 MOSFET 반도체 칩,전자회로(pcb),제작,반도체
자동화 로봇용 서보 모터 어셈블리,조립,해당 없음,해당 없음
공압 실린더 부품 키트,조립,해당 없음,해당 없음
의료기기용 정밀 제어 밸브,절삭(CNC),머시닝센터,금속
공장 자동화용 컨베이어 벨트 모듈,조립,해당 없음,해당 없음
태양광 발전용 접이식 프레임,용접,아크 용접,금속
제약 생산라인용 스테인리스 스틸 탱크,제관,기타 제관 서비스,스테인리스 스틸
항공기 랜딩 기어용 유압 실린더,절삭(CNC),보링,금속
포장 기계용 정밀 그리퍼,절삭(CNC),밀링,금속
식품 등급 실리콘 튜브,압출,기타 압출 성형,실리콘
에너지 저장 시스템용 배터리 모듈,조립,해당 없음,해당 없음
내마모성 세라믹 노즐,주조,기타주조,세라믹
열전도성 알루미늄 히트싱크,압출,직접 압출,알루미늄
산업용 고강도 볼 베어링,조립,해당 없음,금속
내부식성 코팅 강철 파이프,표면처리,코팅,강철
정수 필터용 활성탄 카트리지,조립,해당 없음,해당 없음
방음용 흡음 패널,조립,해당 없음,해당 없음
차량용 고성능 브레이크 패드,프레스,압축,복합 소재
정밀 주조 알루미늄 합금 부품,주조,인베스트먼트주조,알루미늄 합금
냉간 압연 강판 코일,압연(rolling),냉간 압연,강판
정밀 알루미늄 가공 프레임,절삭(CNC),밀링,알루미늄
광학 등급 강화유리 렌즈,연마/폴리싱,해당 없음,유리
CNC 가공 스테인리스 스틸 샤프트,절삭(CNC),선반,스테인리스 스틸
고강도 탄소섬유 복합재 패널,플라스틱 성형,진공 성형,복합재
산업용 고무 트랙 벨트,특수성형,고무 성형,고무
사출 성형 플라스틱 커버,금형/사출성형,일반사출,플라스틱
내부식성 티타늄 볼트,단조(forging),형 단조,티타늄
맞춤형 동선 코일,인발(drawing),선재,동
정밀 연마 세라믹 베어링,연마/폴리싱,해당 없음,세라믹
의료용 실리콘 튜브,압출,직접 압출,실리콘
전자 기기용 방열판,압출,직접 압출,알루미늄
자동차 브레이크 시스템용 주철 디스크,주조,사형 주조,주철
고전압용 세라믹 절연체,주조,기타주조,세라믹
항공기용 경량 알루미늄 합금 리벳,단조(forging),냉간 단조,알루미늄 합금
로봇 암용 서보 모터,조립,해당 없음,해당 없음
맞춤형 폴리우레탄 롤러,플라스틱 성형,기타 플라스틱 성형,폴리우레탄
내화성 복합재 패킹,플라스틱 성형,기타 플라스틱 성형,복합재
반도체 장비용 진공 챔버,제관,기타 제관 서비스,금속
정밀 스틸 기어 세트,절삭(CNC),기어가공(호빙),스틸
광섬유 통신용 커넥터,금형/사출성형,일반사출,플라스틱
방수 밀폐형 케이블 그랜드,금형/사출성형,일반사출,플라스틱
에너지 효율형 LED 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
건설 중장비용 유압 실린더,절삭(CNC),보링,스틸
제조 설비용 진동 방지 마운트,특수성형,고무 성형,고무
내마모성 코팅 처리 블레이드,표면처리,코팅,금속
의료 영상 장비용 X선 튜브,조립,해당 없음,해당 없음
차량용 고성능 배터리 모듈,조립,해당 없음,해당 없음
항공우주용 특수 합금 스프링,인발(drawing),선재,특수 합금
스마트 공장용 센서 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
음료 포장 라인용 고무 벨트,특수성형,고무 성형,고무
고속 회전용 볼 스크류,전조(form rolling),나사 전조,스틸
산업용 터치 패널 디스플레이,조립,해당 없음,해당 없음
진공 성형 플라스틱 트레이,플라스틱 성형,진공 성형,플라스틱
초음파 용접용 혼,절삭(CNC),밀링,금속
전자 제어 장치 (ECU) 하우징,주조,금형주조(다이캐스팅),알루미늄
소형 드론용 고효율 프로펠러,금형/사출성형,일반사출,플라스틱
반도체 웨이퍼 처리용 로봇 그리퍼,절삭(CNC),5축가공,금속
수소 연료 전지 스택 플레이트,프레스,성형,금속
정수 처리 설비용 멤브레인 필터,플라스틱 성형,기타 플라스틱 성형,플라스틱
정밀 광학 조립용 지그,절삭(CNC),밀링,금속
고무 절연 처리 전선,압출,직접 압출,고무
산업용 고해상도 카메라 모듈,조립,해당 없음,해당 없음
CNC 선반용 초경 인서트,연마/폴리싱,해당 없음,초경합금
의료 기기용 비자성 금속 부품,절삭(CNC),밀링,금속
풍력 터빈용 대형 베어링,단조(forging),자유단조,스틸
항공기 동체용 알루미늄 합금 시트,압연(rolling),열간 압연,알루미늄 합금
식품 가공 설비용 위생 등급 펌프,조립,해당 없음,해당 없음
데이터 센터용 고속 네트워크 케이블,인발(drawing),선재,금속
고강도 강철 베어링,절삭(CNC),선반,강철
저소음 BLDC 모터,조립,해당 없음,해당 없음
방수형 플라스틱 커넥터,금형/사출성형,일반사출,플라스틱
정밀 가공 스테인리스 파이프,절삭(CNC),선반,스테인리스
고탄성 우레탄 롤러,플라스틱 성형,기타 플라스틱 성형,우레탄
복합 재료 항공기 동체 패널,특수성형,기타 특수 성형,복합 재료
극세사 클리닝 와이퍼,해당 없음,해당 없음,극세사
방열용 알루미늄 히트싱크,압출,직접 압출,알루미늄
비접촉식 적외선 센서,전자회로(pcb),제작,해당 없음
산업용 대형 감속기 기어,절삭(CNC),기어가공(호빙),금속
의료기기용 생체 적합성 튜브,압출,직접 압출,플라스틱
건축용 강화 유리 패널,열처리,전경화 열처리,유리
재활용 플라스틱 사출 성형품,금형/사출성형,일반사출,플라스틱
고주파 통신용 동축 케이블,인발(drawing),선재,금속
전기차 배터리 모듈용 냉각 플레이트,절삭(CNC),밀링,알루미늄
반도체 장비용 진공 챔버 부품,절삭(CNC),밀링,금속
로봇 팔 관절용 서보 모터,조립,해당 없음,해당 없음
3D 프린팅용 티타늄 분말,3D프린팅,DMLS/SLM(금속 프린팅),티타늄
고정밀 CNC 가공 부품,절삭(CNC),머시닝센터,금속/플라스틱
내화성 세라믹 단열재,주조,기타주조,세라믹
해양 환경용 부식 방지 코팅 볼트,표면처리,코팅,금속
전자 제품용 박막 트랜지스터 (TFT),전자회로(pcb),제작,해당 없음
고속 자동화 설비용 리니어 가이드,절삭(CNC),밀링,금속
LED 조명용 확산판,금형/사출성형,일반사출,플라스틱
스마트폰용 초박형 진동 모터,조립,해당 없음,해당 없음
태양광 패널용 강화 알루미늄 프레임,압출,직접 압출,알루미늄
위성 통신용 고주파 안테나,절삭(CNC),밀링,금속
농업 기계용 내마모성 스프라켓,절삭(CNC),기어가공(호빙),강철
인쇄 회로 기판용 다층 필름,해당 없음,해당 없음,플라스틱
항공 우주용 초경량 탄소섬유 복합재,특수성형,기타 특수 성형,탄소섬유 복합재
식품 등급 스테인리스 스틸 밸브,주조,금형주조(다이캐스팅),스테인리스 스틸
정밀 계측기용 방진 스프링,특수성형,기타 특수 성형,금속
산업용 로봇 그리퍼 부품,절삭(CNC),밀링,금속/플라스틱
의료용 일회용 주사기 바늘,인발(drawing),관재,스테인리스 스틸
방수형 전기 스위치 박스,금형/사출성형,일반사출,플라스틱
고전압 절연용 에폭시 레진 부품,플라스틱 성형,기타 플라스틱 성형,에폭시 레진
스마트 팩토리용 IoT 센서 모듈,SW 개발 / IT 서비스,스마트 팩토리 SW개발,해당 없음
풍력 발전기용 대형 블레이드,특수성형,기타 특수 성형,복합 재료
고온 환경용 특수 합금 스크류,전조(form rolling),나사 전조,특수 합금
반도체 웨이퍼 운반용 카세트,금형/사출성형,일반사출,플라스틱
자동문용 안전 광센서,전자회로(pcb),제작,해당 없음
해양 플랫폼용 내염수성 케이블 그랜드,절삭(CNC),밀링,금속
정수 처리 설비용 역삼투압 멤브레인,압출,기타 압출 성형,플라스틱
정밀 알루미늄 가공 케이스,절삭(CNC),밀링,알루미늄
내열성 실리콘 고무 개스킷,금형/사출성형,LIM(액상사출/실리콘사출),고무
고밀도 다층 PCB 기판,전자회로(pcb),제작,해당 없음
차량용 고장력 강판 패널,프레스,성형,금속
산업 자동화용 서보 모터,조립,해당 없음,해당 없음
내식성 스테인리스 스틸 파이프,인발(drawing),관재,금속
초소형 표면 실장형 커넥터,금형/사출성형,일반사출,해당 없음
방수형 플라스틱 전장 박스,금형/사출성형,일반사출,플라스틱
고강도 탄소섬유 복합재 패널,특수성형,기타 특수 성형,탄소섬유 복합재
의료용 생체 적합성 폴리머 튜브,압출,직접 압출,플라스틱
고정밀 볼 스크류 너트,절삭(CNC),밀링,해당 없음
항공 우주 등급 티타늄 브라켓,단조(forging),형 단조,금속
에너지 효율형 LED 조명 모듈,조립,해당 없음,해당 없음
자동차 브레이크용 소결 패드,프레스,압축,해당 없음
반도체 장비용 진공 챔버 부품,절삭(CNC),밀링,해당 없음
내마모성 세라믹 코팅 피스톤,표면처리,코팅,세라믹
고해상도 LCD 디스플레이 패널,조립,해당 없음,해당 없음
스마트 공장용 무선 센서 노드,조립,해당 없음,해당 없음
중장비용 유압 실린더 피스톤 로드,인발(drawing),봉재,금속
방진형 진동 흡수 마운트,특수성형,고무 성형,고무
전기차 배터리 팩 냉각 플레이트,판금,성형,금속
고온 저항성 캡톤 필름,압출,직접 압출,플라스틱
공장 자동화용 로봇 팔 그리퍼,조립,해당 없음,해당 없음
의료 기기용 정밀 사출 성형 부품,금형/사출성형,일반사출,해당 없음
내화학성 불소 고무 O-링,특수성형,고무 성형,고무
해양 환경용 특수 합금 스크류,전조(form rolling),나사 전조,금속
군사용 위성 통신 안테나,조립,해당 없음,해당 없음
풍력 발전기용 대형 베어링 하우징,주조,사형 주조,금속
스마트폰 카메라 모듈용 렌즈 부품,금형/사출성형,일반사출,해당 없음
산업용 고하중 캐스터 바퀴,조립,해당 없음,해당 없음
고압용 금속 개스킷,프레스,전단,금속
반도체 웨이퍼 이송 로봇 부품,절삭(CNC),5축가공,해당 없음
소방 설비용 내열성 전선,인발(drawing),선재,해당 없음
전기차 충전소용 고전력 커넥터,조립,해당 없음,해당 없음
식품 등급 스테인리스 스틸 밸브,절삭(CNC),밀링,금속
자율주행 차량용 라이다 센서 케이스,절삭(CNC),밀링,알루미늄
제약 공정용 위생 펌프 임펠러,절삭(CNC),5축가공,해당 없음
태양광 발전 시스템용 접지 클램프,프레스,성형,금속
초정밀 가공 반도체 척,절삭(CNC),5축가공,해당 없음
고속 철도 차량용 충격 흡수 장치,조립,해당 없음,해당 없음
군용 통신 장비용 방수 커버,금형/사출성형,일반사출,해당 없음
고온 고압 증기 터빈 블레이드,주조,인베스트먼트주조,금속
3D 프린팅용 고성능 레진 재료,시험분석/시뮬레이션,재료시험/ 화학 분석,레진
우주 발사체용 경량 복합재 연료 탱크,특수성형,기타 특수 성형,복합재
스마트 홈 기기용 저전력 블루투스 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
산업용 보일러 열 교환기 튜브,인발(drawing),관재,금속
전기차 모터 권선용 특수 절연 필름,압출,직접 압출,플라스틱
고강도 합금강 볼트,전조(form rolling),나사 전조,합금강
내열성 스테인리스 스틸 파이프,인발(drawing),관재,스테인리스 스틸
초경량 티타늄 프레임,절삭(CNC),밀링,티타늄
정밀 주조 강철 하우징,주조,인베스트먼트주조,강철
내식성 황동 볼 밸브,주조,금형주조(다이캐스팅),황동
열처리 합금강 샤프트,열처리,전경화 열처리,합금강
표면 경화 크롬 도금 로드,표면처리,도금 (plating),금속
고정밀 연삭 베어링,연마/폴리싱,해당 없음,강철
내충격성 ABS 플라스틱 커버,금형/사출성형,일반사출,ABS 플라스틱
고투명 폴리카보네이트 보호막,플라스틱 성형,진공 성형,폴리카보네이트
내화학성 PTFE 씰,절삭(CNC),밀링,PTFE
유리섬유 강화 복합재 패널,플라스틱 성형,기타 플라스틱 성형,유리섬유 강화 복합재
내열성 실리콘 고무 가스켓,금형/사출성형,LIM(액상사출/실리콘사출),실리콘 고무
초고분자량 폴리에틸렌 슬라이더,절삭(CNC),밀링,초고분자량 폴리에틸렌
UV 차단 아크릴 창,커팅,레이저 커팅,아크릴
도전성 PP 사출 성형 부품,금형/사출성형,일반사출,PP
탄소섬유 복합재 블레이드,플라스틱 성형,기타 플라스틱 성형,탄소섬유 복합재
난연성 PBT 커넥터,금형/사출성형,일반사출,PBT
고밀도 다층 PCB 어셈블리,전자회로(pcb),SMT/PCB 조립,해당 없음
소형 SMD 타입 저항,해당 없음,해당 없음,해당 없음
고전력 MOSFET 트랜지스터,해당 없음,해당 없음,해당 없음
광학식 근접 센서 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
저전력 블루투스 통신 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
산업용 터치스크린 디스플레이,조립,해당 없음,해당 없음
정밀 서보 모터 컨트롤러,전자회로(pcb),SMT/PCB 조립,해당 없음
광섬유 통신 케이블 어셈블리,조립,해당 없음,해당 없음
방폭형 비상 정지 버튼,조립,해당 없음,해당 없음
고효율 디젤 엔진 인젝터,절삭(CNC),밀링,금속
경량 알루미늄 휠 허브,절삭(CNC),밀링,알루미늄
충격 흡수 범퍼 브래킷,프레스,성형,금속
자동차용 LED 헤드라이트 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
내마모성 브레이크 패드,프레스,압축,해당 없음
자동차 엔진용 정밀 주조 블록,주조,사형 주조,금속
고무 재질 에어 덕트 호스,압출,직접 압출,고무
전기차용 고전압 배터리 팩 케이스,판금,성형,금속
차량용 와이어링 하네스,조립,해당 없음,해당 없음
열가소성 플라스틱 내장재,금형/사출성형,일반사출,열가소성 플라스틱
내구성이 뛰어난 산업용 바퀴,특수성형,고무 성형,해당 없음
정밀 용접 지그 고정구,절삭(CNC),밀링,금속
고속 회전 스핀들 베어링,연마/폴리싱,해당 없음,강철
방진형 방수 스위치 박스,판금,성형,금속
내식성 코팅 볼 밸브,표면처리,코팅,금속
고해상도 광학 렌즈 어셈블리,조립,해당 없음,해당 없음
위생 등급 스테인리스 파이프 피팅,주조,인베스트먼트주조,스테인리스 스틸
정밀 CNC 가공 알루미늄 하우징,절삭(CNC),밀링,금속
고무 재질의 방수 가스켓,특수성형,고무 성형,고무
투명 아크릴 디스플레이 커버,커팅,레이저 커팅,아크릴
산업용 고내구성 센서 모듈,조립,해당 없음,해당 없음
자동차 엔진용 단조 크랭크 샤프트,단조(forging),형 단조,금속
스테인리스 스틸 의료용 주사 바늘,인발(drawing),관재,금속
PCB 실장용 초소형 커넥터,금형/사출성형,일반사출,플라스틱
내열성 실리콘 O-링,금형/사출성형,LIM(액상사출/실리콘사출),고무
항공우주용 티타늄 합금 볼트,전조(form rolling),나사 전조,금속
고강도 복합재 성형 패널,플라스틱 성형,기타 플라스틱 성형,플라스틱
전력 전송용 구리 부스바,판금,벤딩/절곡,금속
주조 철제 산업용 펌프 케이싱,주조,사형 주조,금속
플라스틱 사출 성형 제어 버튼,금형/사출성형,일반사출,플라스틱
로봇 팔용 고정밀 감속기,절삭(CNC),기어가공(호빙),금속
방진형 알루미늄 다이캐스팅 케이스,주조,금형주조(다이캐스팅),금속
광학 기기용 정밀 유리 렌즈,연마/폴리싱,해당 없음,유리/세라믹
건축용 아연 도금 강판,표면처리,도금 (plating),금속
백색 가전용 플라스틱 사출 부품,금형/사출성형,일반사출,플라스틱
배터리 팩용 절연 필름,압출,기타 압출 성형,플라스틱
풍력 터빈용 대형 베어링,단조(forging),형 단조,금속
고성능 자동차 브레이크 디스크,주조,사형 주조,금속
액정 디스플레이 백라이트 유닛,조립,해당 없음,해당 없음
방폭형 산업용 스위치 박스,판금,용접,금속
농업 기계용 주철 기어,주조,사형 주조,금속
전기차 충전 포트용 방수 커버,금형/사출성형,일반사출,플라스틱
경량 카본 파이버 자전거 프레임,플라스틱 성형,기타 플라스틱 성형,플라스틱
의료용 일회용 주사기 실린더,금형/사출성형,일반사출,플라스틱
고압 유압 시스템용 피스톤,절삭(CNC),선반,금속
금속 프레스 가공 외장 패널,프레스,성형,금속
통신 장비용 RF 차폐 케이스,판금,벤딩/절곡,금속
태양광 패널용 강화 유리,열처리,전경화 열처리,유리/세라믹
고주파 PCB 다층 기판,전자회로(pcb),제작,해당 없음
건설 중장비용 유압 실린더,절삭(CNC),보링,금속
항공기 랜딩 기어용 단조 부품,단조(forging),형 단조,금속
섬유 기계용 정밀 방적 노즐,절삭(CNC),방전가공(EDM),금속
자동화 설비용 리니어 가이드,절삭(CNC),머시닝센터,금속
