main_service,sub_service,description
기구설계,,"제품의 기계적 구조와 움직임을 설계하는 과정으로, 3D CAD 모델링을 통해 부품의 형태, 조립, 작동 방식 등을 구체화합니다."
제품 디자인,,"제품의 외관, 형태, 색상, 재질 등 시각적인 요소를 설계하는 과정으로, 사용자의 편의성과 심미성을 고려하여 제품의 가치를 높이는 역할을 합니다."
전자회로(pcb),,"제품의 전자적 기능을 담당하는 인쇄 회로 기판(PCB)을 만드는 과정의 총칭입니다. 회로 설계부터 기판 제작, 부품 실장(SMT)까지 포함됩니다."
전자회로(pcb),설계,"PCB 회로 설계는 전자 부품의 배치와 배선을 계획하여 회로의 성능과 안정성을 결정하는 중요한 첫 단계입니다."
전자회로(pcb),제작,"PCB 제작은 설계된 회로도를 바탕으로 실제 인쇄 회로 기판을 물리적으로 만드는 공정입니다."
전자회로(pcb),SMT/PCB 조립,"SMT(표면 실장 기술)는 PCB 위에 전자 부품을 자동으로 납땜하여 실장하는 공정으로, 대량 생산에 필수적입니다."
SW 개발 / IT 서비스,,"제품에 내장되거나(임베디드), 공장을 자동화하거나(스마트 팩토리), 사용자를 위한 웹/앱을 만드는 등 다양한 프로그램을 개발하는 서비스입니다."
SW 개발 / IT 서비스,스마트 팩토리 SW개발,"제조 공정을 자동화하고 데이터를 수집/분석하여 생산 효율을 극대화하는 공장 자동화 소프트웨어를 개발합니다."
SW 개발 / IT 서비스,임베디드 SW개발,"특정 하드웨어 장치에 내장되어 정해진 기능을 수행하는 펌웨어 또는 시스템 소프트웨어를 개발합니다."
SW 개발 / IT 서비스,웹/앱 개발,"사용자가 웹 브라우저나 모바일 기기에서 직접 상호작용할 수 있는 웹사이트 또는 애플리케이션을 개발합니다."
시험분석/시뮬레이션,,"제품이 실제 환경에서 문제없이 작동하는지 미리 검증하는 과정입니다. 구조 해석(FEA), 유동 해석(CFD), 신뢰성 시험 등이 있습니다."
시험분석/시뮬레이션,환경시험 / 신뢰성시험,"제품이 온도, 습도, 진동 등 다양한 외부 환경 조건에서 얼마나 오래 견디는지 테스트하여 내구성을 검증합니다."
시험분석/시뮬레이션,전기/전자 시험(EMI/EMC),"제품이 외부의 전자기파에 영향을 받지 않고, 동시에 외부로 불필요한 전자기파를 방출하지 않는지 테스트합니다."
시험분석/시뮬레이션,재료시험/ 화학 분석,"제품에 사용된 재료의 물리적 강도나 화학적 성분을 분석하여 품질 기준을 만족하는지 확인합니다."
시험분석/시뮬레이션,구조 해석(FEA)/ 유동해석(CFD),"컴퓨터 시뮬레이션을 통해 제품이 받는 힘이나 내부의 공기/유체 흐름을 분석하여 설계를 최적화합니다."
시험분석/시뮬레이션,열 해석/ 열관리 시험,"제품 작동 시 발생하는 열의 분포와 흐름을 시뮬레이션하여 효과적인 방열 대책을 수립합니다."
시험분석/시뮬레이션,음향/소음/진동해석(Modal Analysis),"제품의 작동 중 발생하는 소음과 진동의 원인을 분석하고, 이를 줄이기 위한 구조적 개선 방안을 도출합니다."
시험분석/시뮬레이션,모델링/ 시뮬레이션(시스템 레벨),"여러 부품이 결합된 전체 시스템의 동작을 가상 환경에서 시뮬레이션하여 통합적인 성능을 예측하고 검증합니다."
시험분석/시뮬레이션,인증시험 대행/ 컨설팅,"제품 출시를 위해 필요한 KC, CE 등 국내외 인증 규격에 맞춰 시험을 대행하고 기술 컨설팅을 제공합니다."
3D프린팅,,"3차원 모델 데이터를 바탕으로 플라스틱, 금속 등의 재료를 층층이 쌓아올려 입체적인 물건을 만드는 기술로, 시제품 제작에 매우 유용합니다."
3D프린팅,SLA / DLP(광경화 수지방식),"액체 상태의 광경화성 수지에 빛(레이저 또는 빔프로젝터)을 쬐어 원하는 부분만 굳혀가며 조형하는 방식으로, 정밀도가 매우 높습니다."
3D프린팅,FDM(열융합 적층 방식),"가느다란 필라멘트 형태의 플라스틱 재료를 녹여 압출하며 한 층씩 쌓아올리는, 가장 대중적인 3D 프린팅 방식입니다."
3D프린팅,PolyJet(광경화 잉크젯 분사 방식),"잉크젯 프린터 헤드에서 광경화성 수지를 미세하게 분사하고 즉시 자외선으로 굳히는 방식으로, 다양한 재료를 혼합하여 사용할 수 있습니다."
3D프린팅,MJF(멀티 젯 퓨전),"나일론 분말 위에 융착제와 정밀 제어제를 분사한 뒤, 열을 가해 선택적으로 융합시키는 방식으로, 강도가 높고 정밀한 부품 제작에 사용됩니다."
3D프린팅,SLS(선택적 제이저 소결),"나일론이나 금속 분말을 얇게 깐 뒤, 강력한 레이저로 원하는 부분만 선택적으로 녹여 굳히는 방식으로, 내구성이 뛰어난 부품 제작에 적합합니다."
3D프린팅,DMLS/SLM(금속 프린팅),"금속 분말을 레이저로 녹여 완전한 용융 상태로 만든 뒤 굳히는 방식으로, 실제 사용 가능한 고강도의 금속 부품을 직접 제작할 수 있습니다."
3D프린팅,EBM(전자빔 용융),"진공 상태에서 강력한 전자빔을 이용해 금속 분말을 녹여 쌓는 방식으로, 항공우주나 의료용 임플란트 등 고부가가치 부품 제작에 사용됩니다."
3D프린팅,Binder Jetting(바인더 분사방식),"분말 재료 위에 액체 접착제(바인더)를 분사하여 굳히는 방식으로, 제작 속도가 빠르고 다양한 재료를 사용할 수 있습니다."
3D프린팅,DED(직접 에너지 증착),"레이저나 전자빔으로 금속을 녹이는 동시에 금속 분말이나 와이어를 공급하여 부품을 만들거나 수리하는 기술입니다."
절삭(CNC),,"CNC(컴퓨터 수치 제어)를 이용해 재료를 정밀하게 깎아내는 모든 가공 방식을 의미합니다. 밀링, 선반, 머시닝센터 등 다양한 세부 공정이 있습니다."
절삭(CNC),밀링,"고정된 공작물에 회전하는 절삭 공구를 사용하여 평면이나 홈 등을 가공하는 가장 기본적인 절삭 방식입니다."
절삭(CNC),선반,"공작물을 회전시키고 고정된 공구를 이용해 깎아내어 주로 원통형의 부품을 만드는 가공 방식입니다."
절삭(CNC),머시닝센터,"밀링, 드릴링 등 다양한 절삭 기능을 복합적으로 수행할 수 있으며, 공구 자동 교환 장치(ATC)를 갖춘 고성능 CNC 공작기계입니다."
절삭(CNC),드릴링,"드릴이라는 공구를 회전시켜 공작물에 구멍을 뚫는 가공입니다."
절삭(CNC),방전가공(EDM),"전기의 방전 현상을 이용해 금속을 미세하게 녹여내어, 일반적인 방법으로는 가공하기 어려운 매우 단단한 금속이나 복잡한 형상을 가공합니다."
절삭(CNC),기어가공(호빙),"호브라는 특수 공구를 사용하여 기어(톱니바퀴)의 정밀한 이빨 모양을 깎아 만드는 가공 방식입니다."
절삭(CNC),5축가공,"공작물을 5개의 다른 축으로 동시에 움직이고 회전시키며 가공하여, 매우 복잡하고 정밀한 3차원 형상을 만들 수 있는 고급 가공 기술입니다."
절삭(CNC),범용가공,"자동화된 CNC가 아닌, 작업자가 직접 조작하는 범용 선반이나 밀링을 사용하여 부품을 가공하는 방식입니다."
절삭(CNC),보링,"이미 뚫려있는 구멍을 더 크고 정밀하게 넓히는 가공입니다."
절삭(CNC),리밍,"드릴로 뚫은 구멍의 내면을 더 정밀하고 매끄럽게 다듬는 가공입니다."
절삭(CNC),태핑,"구멍의 내벽에 나사선을 만드는 가공입니다."
절삭(CNC),슬로팅,"공작물에 길고 좁은 홈(슬롯)을 만드는 가공입니다."
절삭(CNC),브로칭,"브로치라는 긴 절삭 공구를 한번에 통과시켜 복잡한 형상의 구멍이나 외면을 가공하는 고속 생산 방식입니다."
절삭(CNC),와이어 컷,"가는 와이어에 전류를 흘려 발생하는 스파크로 금속을 매우 정밀하게 잘라내는 방전 가공의 한 종류입니다."
판금,,"얇은 금속판을 자르거나(커팅), 구부리거나(벤딩/절곡), 용접하여 케이스, 브라켓 등 다양한 형태의 부품을 만드는 기술입니다."
판금,커팅,"레이저나 워터젯 등을 사용하여 판재를 원하는 모양으로 정밀하게 잘라내는 공정입니다."
판금,벤딩/절곡,"프레스 브레이크 등의 장비를 사용하여 판재를 특정 각도로 구부려 입체적인 형상을 만드는 공정입니다."
판금,타공/펀칭,"프레스 기계를 이용해 금속판에 구멍을 뚫거나 특정 모양을 찍어내는 공정입니다."
판금,태핑,"판재에 구멍을 뚫고 그 내부에 나사선을 만드는 가공입니다."
판금,성형,"금형을 이용해 판재를 특정 입체 형상으로 변형시키는 가공입니다."
판금,용접,"절단 및 절곡된 판재 부품들을 열을 가해 하나로 영구적으로 접합하는 공정입니다."
커팅,,"레이저, 워터젯, 플라즈마 등 다양한 방법을 사용하여 금속, 아크릴, 목재 등 여러 재료를 정밀하게 절단하는 공정입니다."
커팅,레이저 커팅,"고출력 레이저 빔을 이용해 재료를 녹이거나 태워서 절단하는 방식으로, 정밀하고 빠른 가공이 가능합니다."
커팅,워터젯 커팅,"초고압의 물이나 연마재를 섞은 물을 분사하여 재료를 절단하는 방식으로, 열 변형이 거의 없는 것이 장점입니다."
커팅,단순 절단,"절단기나 톱 등을 이용해 재료를 단순히 자르는 기본적인 공정입니다."
커팅,플라즈마 커팅,"고온의 플라즈마 제트를 이용해 주로 두꺼운 금속판을 빠르게 절단하는 방식입니다."
커팅,쉐어링,"전단기를 이용해 가위처럼 판재를 자르는 방식입니다."
제관,,"철이나 스테인레스 등의 금속판이나 파이프, 앵글재 등을 절단하고 용접하여 탱크, 프레임 등 입체적인 구조물을 만드는 가공입니다."
프레스,,"강력한 압력을 가하여 금속판을 금형의 모양대로 변형시키는 가공 방식입니다. 자동차 차체와 같이 동일한 모양의 부품을 대량 생산하는 데 주로 사용됩니다."
프레스,프레스 금형제작,"프레스 가공에 사용될 정밀한 금속 틀(금형)을 설계하고 제작하는 과정입니다."
프레스,딥 드로잉,"평평한 판재를 금형으로 눌러 컵이나 용기처럼 깊이가 있는 입체 형상으로 만드는 프레스 가공 기술입니다."
금형/사출성형,,"금형이라는 정밀한 틀을 제작하고, 녹인 플라스틱 수지를 고압으로 주입/냉각하여 제품을 대량 생산하는 기술입니다."
금형/사출성형,일반사출,"단일 종류의 플라스틱 재료를 사용하여 제품을 성형하는 가장 일반적인 사출 방식입니다."
금형/사출성형,이중사출,"서로 다른 두 종류의 플라스틱 재료를 한 번의 공정으로 결합하여 성형하는 기술입니다. (예: 칫솔 손잡이의 고무 부분)"
금형/사출성형,인서트사출,"금형 내부에 금속 너트나 단자 같은 부품(인서트)을 미리 넣고 플라스틱을 사출하여 일체형 부품을 만드는 기술입니다."
금형/사출성형,MIM(금속사출),"미세한 금속 분말을 플라스틱과 섞어 사출 성형한 뒤, 플라스틱 성분만 제거하고 소결하여 복잡한 형상의 금속 부품을 만드는 기술입니다."
금형/사출성형,LIM(액상사출/실리콘사출),"액체 상태의 실리콘 고무(LSR)를 금형에 주입하여 성형하는 방식으로, 의료용품이나 유아용품 제작에 많이 사용됩니다."
플라스틱 성형,,"사출 외에, 바람을 불어 병을 만드는 블로우 몰딩, 얇은 시트를 가열하는 진공 성형 등 다양한 플라스틱 제품 제조 기술을 포함합니다."
플라스틱 성형,블로우 몰딩,"플라스틱 원료를 튜브 형태로 압출한 뒤, 금형 안에서 공기를 불어넣어 병이나 용기처럼 속이 빈 제품을 만드는 방식입니다."
플라스틱 성형,진공 성형,"얇은 플라스틱 시트를 가열하여 부드럽게 만든 뒤, 진공 압력으로 금형에 밀착시켜 성형하는 방식입니다. (예: 포장 용기, 트레이)"
플라스틱 성형,로터리 몰딩,"대형 금형을 회전시키면서 내부의 플라스틱 분말을 열로 녹여 제품을 만드는 방식으로, 크고 속이 빈 물탱크 등을 제작하는 데 사용됩니다."
플라스틱 성형,발포 성형,"플라스틱에 발포제를 첨가하여 내부에 무수한 기포를 생성시켜 가볍고 단열성이 좋은 제품(예: 스티로폼)을 만드는 방식입니다."
주조,,"금속을 녹여 액체 상태로 만든 뒤, 원하는 모양의 틀에 부어 굳혀서 제품을 만드는 방식입니다. 복잡한 형상의 부품 대량 생산에 적합합니다."
주조,사형 주조,"모래로 만든 주형(틀)에 용융된 금속을 부어 제품을 만드는 가장 전통적이고 일반적인 주조 방식입니다."
주조,인베스트먼트주조,"왁스로 정밀한 원형을 만든 뒤, 그 주위를 세라믹으로 감싸고 가열하여 왁스를 녹여낸 자리에 용융 금속을 부어 복잡한 형상을 만드는 정밀 주조 방식입니다."
주조,금형주조(다이캐스팅),"정밀하게 가공된 금속 틀(금형)에 용융된 비철금속을 고압으로 주입하여, 치수가 정확하고 표면이 깨끗한 주물을 만드는 방식입니다."
단조(forging),,"금속 재료를 두들기거나 눌러서 원하는 모양을 만드는 가공 방식입니다. 이 과정을 통해 금속의 내부 조직이 치밀해져 강도가 매우 높아집니다."
단조(forging),자유단조,"금형 없이 해머나 프레스를 이용해 작업자의 기술로 자유롭게 형상을 만들어가는 단조 방식으로, 주로 대형 단조품이나 소량 생산에 사용됩니다."
단조(forging),형 단조,"원하는 제품 모양이 새겨진 금형 사이에 재료를 넣고 강력한 압력을 가해 형상을 만드는 단조 방식으로, 대량 생산에 적합합니다."
단조(forging),열간 단조,"금속을 재결정 온도 이상으로 뜨겁게 가열한 상태에서 단조하는 방식으로, 적은 힘으로 복잡한 형상을 만들기 용이합니다."
단조(forging),냉간 단조,"금속을 상온에서 단조하는 방식으로, 정밀한 치수와 깨끗한 표면을 얻을 수 있으며 강도가 더욱 향상됩니다."
압출,,"재료를 단면이 일정한 틀에 통과시켜 긴 형태의 제품(예: 알루미늄 섀시)을 연속적으로 생산하는 방식입니다."
압출,직접 압출,"컨테이너 안의 재료를 램으로 밀어 다이를 통해 압출하는 가장 일반적인 방식입니다."
압출,간접 압출,"다이가 램의 앞부분에 있어 재료와 컨테이너 사이의 마찰이 없는 압출 방식으로, 더 적은 힘이 필요합니다."
인발(drawing),,"재료를 잡아당겨 다이를 통과시킴으로써 단면적을 줄이고 길이를 늘리는 가공 방식입니다. 주로 선재, 관재, 봉재를 만드는 데 사용됩니다."
인발(drawing),선재,"단면이 원형인 긴 선(와이어)을 만드는 인발 가공입니다."
인발(drawing),관재,"속이 빈 파이프나 튜브 형태의 제품을 만드는 인발 가공입니다."
인발(drawing),봉재,"단면이 꽉 찬 막대(봉) 형태의 제품을 만드는 인발 가공입니다."
압연(rolling),,"회전하는 두 개의 롤러 사이로 재료를 통과시켜 얇고 긴 판이나 봉 형태로 만드는 가공 방식입니다. 철강 생산의 핵심 공정 중 하나입니다."
압연(rolling),열간 압연,"재결정 온도 이상의 고온에서 재료를 압연하는 방식으로, 큰 변형을 쉽게 가할 수 있습니다."
압연(rolling),냉간 압연,"상온에서 재료를 압연하는 방식으로, 표면이 매끄럽고 치수 정밀도가 높은 제품을 만들 수 있습니다."
용접,,"두 개 이상의 금속 부품을 열이나 압력을 가하여 녹인 뒤 하나로 접합하는 기술입니다. 구조물을 만들거나 부품을 수리하는 데 필수적입니다."
용접,아크 용접,"전기 아크 방전을 통해 발생하는 고열로 금속을 녹여 접합하는 가장 널리 사용되는 용접 방식입니다."
용접,저항 용접,"전류를 흘릴 때 발생하는 저항열을 이용해 금속을 접합하는 방식으로, 주로 얇은 판재의 점용접(스폿 용접)에 사용됩니다."
용접,고상 용접,"금속을 녹이지 않고, 높은 압력이나 마찰열 등을 이용해 고체 상태에서 직접 접합하는 방식입니다."
용접,브레이징,"접합하려는 금속(모재)은 녹이지 않고, 그보다 녹는점이 낮은 금속(용가재)을 녹여 접합부의 틈새를 채워 접합하는 방식입니다."
열처리,,"금속 재료를 특정 온도로 가열하고 냉각하는 과정을 통해 재료의 경도, 강도, 인성 등 기계적 성질을 개선하는 공정입니다."
열처리,전경화 열처리,"부품 전체를 균일하게 열처리하여 전체적인 강도와 경도를 높이는 방식입니다."
열처리,국부 열처리,"부품의 특정 부위만 선택적으로 열처리하여 필요한 부분의 내마모성 등을 향상시키는 방식입니다."
열처리,침탄 열처리,"저탄소강의 표면에 탄소를 침투시켜 표면은 단단하고 내부는 인성을 유지하게 만드는 표면 경화 열처리입니다."
열처리,질화 열처리,"강철 표면에 질소를 침투시켜 매우 단단한 질화물 층을 형성하는 표면 경화 열처리입니다."
표면처리,,"제품의 표면에 도색, 도금, 코팅 등을 하여 부식을 방지하고, 내모마모성을 높이며, 미관을 개선하는 모든 공정을 의미합니다."
표면처리,도색/도장(painting),"제품 표면에 페인트를 칠하여 색상을 입히고 부식을 방지하는 가장 일반적인 표면처리 방식입니다."
표면처리,도금 (plating),"전기화학적 방법을 이용해 한 금속의 표면에 다른 금속의 얇은 막을 입히는 기술입니다."
표면처리,아노다이징,"알루미늄 표면에 인공적으로 산화피막을 형성시켜 내식성과 내마모성을 높이고 다양한 색상을 구현하는 기술입니다."
표면처리,레이저 마킹/인쇄,"레이저를 이용해 제품 표면에 로고, 문자, 이미지 등을 정밀하게 새기는 방식입니다."
표면처리,코팅,"기능성 막을 제품 표면에 입혀 방수, 내열, 내마모 등 특별한 성능을 부여하는 공정입니다."
연마/폴리싱,,"연마재를 사용하여 제품의 표면을 문질러 거칠기를 줄이고 광택을 내는 공정입니다."
조립,,"완성된 여러 부품들을 결합하여 하나의 완제품 또는 반제품을 만드는 최종 공정입니다."